item_number scale
1 ActivityLevel
-13 ActivityLevel
25 ActivityLevel
2 Anger
32 Anger
3 AttentionFocusing
15 AttentionFocusing
27 AttentionFocusing
5 Discomfort
-20 Discomfort
-29 Discomfort
11 Fear
-26 Fear
4 HighIntensityPleasure
16 HighIntensityPleasure
28 HighIntensityPleasure
7 Impulsivity
-19 Impulsivity
-31 Impulsivity
6 InhibitoryControl
18 InhibitoryControl
-30 InhibitoryControl
9 LowIntensityPleasure
21 LowIntensityPleasure
33 LowIntensityPleasure
12 PerceptualSensitivity
24 PerceptualSensitivity
36 PerceptualSensitivity
8 Sadness
17 Sadness
35 Sadness
-10 Shyness
22 Shyness
34 Shyness
-14 Soothability
-23 Soothability
