"","varname","label","val_labels"
"1","ADHD_Source","Screenet/kontroll"," "
"2","Age_in_days","Age in days at at clinical assessment for ADHD Study"," "
"3","Age_in_months","Age in months at at clinical assessment for ADHD Study"," "
"4","BNT.compl","Boston naming task; number of completed items"," "
"5","BNT.errors","Boston naming task; number of errors"," "
"6","BNT.i01","Boston naming task; item 01 [Orig Label: Seng (et møbel)]","1 Korrekt svar umiddelbart; 2 Korrekt svar etter latenstid innen 5 sekunder; 3 Korrekt svar etter semantisk cue; 4 Korrekt svar etter fonemisk cue; 5 Galt svar eller ikke svar etter fonemisk cue"
"7","BNT.i02","Boston naming task; item 02 [Orig Label: Tre (noe som vokser ute)]","1 Korrekt svar umiddelbart; 2 Korrekt svar etter latenstid innen 5 sekunder; 3 Korrekt svar etter semantisk cue; 4 Korrekt svar etter fonemisk cue; 5 Galt svar eller ikke svar etter fonemisk cue"
"8","BNT.i03","Boston naming task; item 03 [Orig Label: Blyant (brukes tilskrive)]","1 Korrekt svar umiddelbart; 2 Korrekt svar etter latenstid innen 5 sekunder; 3 Korrekt svar etter semantisk cue; 4 Korrekt svar etter fonemisk cue; 5 Galt svar eller ikke svar etter fonemisk cue"
"9","BNT.i04","Boston naming task; item 04 [Orig Label: Hus (en bygning)]","1 Korrekt svar umiddelbart; 2 Korrekt svar etter latenstid innen 5 sekunder; 3 Korrekt svar etter semantisk cue; 4 Korrekt svar etter fonemisk cue; 5 Galt svar eller ikke svar etter fonemisk cue"
"10","BNT.i05","Boston naming task; item 05 [Orig Label: Fløyte (brukes tilblåse i)]","1 Korrekt svar umiddelbart; 2 Korrekt svar etter latenstid innen 5 sekunder; 3 Korrekt svar etter semantisk cue; 4 Korrekt svar etter fonemisk cue; 5 Galt svar eller ikke svar etter fonemisk cue"
"11","BNT.i06","Boston naming task; item 06 [Orig Label: Saks (brukes tilklippe med)]","1 Korrekt svar umiddelbart; 2 Korrekt svar etter latenstid innen 5 sekunder; 3 Korrekt svar etter semantisk cue; 4 Korrekt svar etter fonemisk cue; 5 Galt svar eller ikke svar etter fonemisk cue"
