"Variable_name"	"Variable_label"	"Value_labels"
"1"	"Age_in_days"	"Age in days at at clinical assessment for ADHD Study"	""
"2"	"Age_in_months"	"Age in months at at clinical assessment for ADHD Study"	""
"3"	"BNT.errors"	"Boston naming task; number of errors"	""
"4"	"BNT.S"	"Boston naming task; Score"	""
"5"	"BRF.P.EC.SS"	"BRIEF-Preschool; parent; Emotional control; sum of scores"	""
"6"	"BRF.P.IH.SS"	"BRIEF-Preschool; parent; Inhibition; sum of scores"	""
"7"	"BRF.P.PO.SS"	"BRIEF-Preschool; parent; planning and organizing; sum of scores"	""
"8"	"BRF.P.SH.SS"	"BRIEF-Preschool; parent; Shift; sum of scores"	""
"9"	"BRF.P.WM.SS"	"BRIEF-Preschool; parent; working memory; sum of scores"	""
"10"	"BRF.T.EC.SS"	"BRIEF-Preschool; teacher; Emotional control; sum of scores"	""
"11"	"BRF.T.IH.SS"	"BRIEF-Preschool; teacher; Inhibition; sum of scores"	""
"12"	"BRF.T.PO.SS"	"BRIEF-Preschool; teacher; planning and organizing; sum of scores"	""
"13"	"BRF.T.SH.SS"	"BRIEF-Preschool; teacher; Shift; sum of scores"	""
"14"	"BRF.T.WM.SS"	"BRIEF-Preschool; teacher; working memory; sum of scores"	""
"15"	"CBQ.P.ActivityLevel.SS"	"CBQ; Parent rating; ActivityLevel; sum score"	""
"16"	"CBQ.P.Anger.SS"	"CBQ; Parent rating; Anger; sum score"	""
"17"	"CBQ.P.AttentionFocusing.SS"	"CBQ; Parent rating; AttentionFocusing; sum score"	""
"18"	"CBQ.P.Discomfort.SS"	"CBQ; Parent rating; Discomfort; sum score"	""
"19"	"CBQ.P.Empathy.SS"	"CBQ; Parent rating; Empathy; sum score"	""
"20"	"CBQ.P.Fear.SS"	"CBQ; Parent rating; Fear; sum score"	""
"21"	"CBQ.P.HighIntensityPleasure.SS"	"CBQ; Parent rating; HighIntensityPleasure; sum score"	""
"22"	"CBQ.P.Impulsivity.SS"	"CBQ; Parent rating; Impulsivity; sum score"	""
"23"	"CBQ.P.InhibitoryControl.SS"	"CBQ; Parent rating; InhibitoryControl; sum score"	""
"24"	"CBQ.P.LowIntensityPleasure.SS"	"CBQ; Parent rating; LowIntensityPleasure; sum score"	""
"25"	"CBQ.P.PerceptualSensitivity.SS"	"CBQ; Parent rating; PerceptualSensitivity; sum score"	""
"26"	"CBQ.P.Sadness.SS"	"CBQ; Parent rating; Sadness; sum score"	""
"27"	"CBQ.P.Shyness.SS"	"CBQ; Parent rating; Shyness; sum score"	""
"28"	"CBQ.P.Soothability.SS"	"CBQ; Parent rating; Soothability; sum score"	""
"29"	"CDI.L.P.SS"	"Child Development Inventory; Language; parent ratings; sum of scores"	""
